SIGLA;TIME;VERTICAL
LBQRQ, PCM;Albuquerque;Cartão Empresarial Multi
RGN;Argonath;Autenticação: Login, PIN, Biometria
Auckland;Auckland;Antecipação de Recebíveis
AZR;Azeroth;Simulador de Vendas, Plano de recimento, Termos e Taxas
BAH;Bahamas;Cartão Empresarial Multi
OR, BARC;Barcelona;TED, transferência entre contas PagBank
BL;Belfast;Fundos, Paginvest
BFR,BFT;Bifrost;Cadastro Onboarding
PBB;Bora Bora;Experiência QR Code
FOR, BRO;Brooklyn;Pagamento de contas e Detran
CHAV;Chaves;Pix
CHC,CHI;Chicago;Carteira, Cartões de terceiros
PSC, COL;Colorado;Cartão Pré-pago
CN;Constantinopla;Open Banking
PLA;Espírito Santo;Cartão Empresarial Multi
FIJI;Fiji;Cartão da Conta
DOR;Dortmund;Reemissão, Ativação e Cancelamento do Cartão da Conta
PFK;Fort Knox;Parcelamento do cartão da conta
FOR;Fortaleza;Pagamento de contas e Detran
GOTE, GOT;Gotemburgo;Indique e Ganhe, Gamification e Máquinas no App PagBank
GRIN;Gringotes;Portabilidade de Salário
GUA,GUAD;Guadalajara;Aba Vendas
HAC;Hacksilver;Antecipação Saque-Aniversário
HK;Hawkins;Recarga de serviços
HG;Hogsmeade;Cartão de Crédito
HOL;Hollywood;Limite Especial
JAB, PSJL;Jaboticabal;Cartão Pré-pago
KAT;Kategatt;CI - Continuous Integration
KLIN;Klin;PagPay
LAS;Las Venturas;Gerenciamento de boletos/Débito Automático
LIV;Liverpool;
LOSS, LOS;Los Santos;Motor de Agendamento
PM;Macau;Experiência QR Code
MADA;Madagascar;Cobrança via Boleto, Adição de Dinheiro (boleto e auxílio emergencial) e banner de engajamento
EDIN, IVO, EDIN;Madrid;Inovação em Investimentos
MEMPHIS;Memphis;P2P / Transferência entre contatos
MB;Mobile Emissão;Dívida Técnica
PMSP;Mobile Schelling Points;Dívida Técnica
MNC, PFK;Mônaco;Limite na Hora
MNTRL, EDIN, IN, IVO;Montreal;Conteúdo Educacional de Investimentos
IN;Montreal-Seatle-Oulu;Investimento Cross
PMH;Morgan Hill;Seguros
PMV, PSF, SEGS;Moutain View;Produtos de Seguro e Saúde
MUM;Mumbai;Aba Vendas
NOR;Normandia;Reativação de Chip
ODN;Odin;Core do app
PIC;Okinawa;Previdência e Renda Fixa
OM;Omaha;CDB, Tesouro direto
OR;Oregon;TED, transferência entre contas PagBank
RLND, RLN;Orlando;Recargas de celular, serviços e games
PSQP, PPO;Orlov;Link de Pagamento
SK;Osaka;Pix
PTPLS;Patópolis;Limite Pix
PEQUI;Pequim;Cashback
PRS;Pérsia;Gestão de Senhas ( Cartões )
PRAG;Praga;Reabastecimento Shellbox, Tag Veloe
RJ;Rio de Janeiro;Design System
RIV, RVD;Rivendell;Account Security
RS;Rosetta;Novo App Token
RVA;Saint-Tropez;Renda Variável
SLM;Salem;Relatório de Vendas, Agenda de Recebíveis, Extrato de transações
CE;São Lourenço;Limite Especial
SEAT, IVO, IN;Seattle;Cadastro de Investimento
SR;Serrana;Cartão de Crédito
SIN;Singapura;Extrato da Conta Digital
Sippar, RG;Sippar;Informe de Rendimento
SPAR;Sparta;Cartão Pré-Pago/Conta
STAV;Stavanger;Crédito Consignado
EDIN, IVO, EDIN;Taipei;Inovação em Investimentos
TEN;Tenesse;P2P / Transferência entre contatos
TEXAS, TEX, PSTEXAS, PTEXAS;Texas;Empréstimo
TWV, TOW;Townsville;Radar de Ofertas, Shopping, Reabastecimento Shellbox
VAL;Valhalla;Cartão da Conta
VER;Vermillion;Shell Box
PW;Wakanda;Home do app, Detalhes do saldo, Menu lateral, Coachmark e Pedido de Review
WL, WAT;WaterLoo;Oferta, Sininho, Push, FAQ, Content Preview e ChatBot
WES;Westminster;Bloqueio/Desbloqueio de Saldo
;Delaware;Cartão de Crédito
